Title type,IMDb Rating,Runtime (mins),Year,Num. Votes
Feature Film,7.9,117,2014,311885
Feature Film,8,83,2008,10196
TV Series,9.5,56,2011,1095188
Feature Film,6.7,115,2005,331238
Feature Film,7.2,117,2006,272829
Feature Film,8,102,2012,363872
Feature Film,6.3,93,1989,110477
Feature Film,6.9,104,1995,215299
Feature Film,8,115,2004,492831
Feature Film,7.9,115,1982,290317
Feature Film,6.9,86,2005,275812
Feature Film,6.7,142,1991,187300
Feature Film,8,111,2007,488257
Feature Film,8,83,1995,84608
Feature Film,6.9,125,1993,187345
Feature Film,7.6,81,2002,337365
Feature Film,7.6,121,2015,223005
TV Series,9.1,60,2016,108687
Feature Film,7.3,104,2016,161240
TV Series,8.1,28,2012,26761
Feature Film,8.3,116,2016,103756
Feature Film,7.1,89,2016,46
TV Series,8.3,60,2014,17185
Feature Film,8.5,117,1979,583893
Feature Film,6.3,118,2016,37285
Feature Film,7.8,132,2011,532310
Feature Film,7.5,128,2016,72280
TV Series,8.9,60,2011,93649
Feature Film,7.6,140,1995,214407
Feature Film,7.1,144,2016,231116
Feature Film,7,123,2016,166983
Feature Film,7.4,116,2016,133348
Feature Film,6.4,86,2016,62621
Feature Film,6.5,129,2016,128084
Feature Film,7.2,108,2015,22430
Feature Film,7.8,130,2015,218748
Feature Film,8.1,128,2015,233868
Feature Film,7.8,157,2007,330946
Feature Film,7.7,110,2010,247571
TV Series,8.2,30,2015,29561
Feature Film,7.8,107,1990,138184
Feature Film,7.3,116,2003,107925
Feature Film,7,92,2016,7097
Feature Film,7.6,131,2006,39156
Feature Film,7.7,135,2003,330788
Feature Film,8.1,153,2013,406092
Feature Film,8.1,114,2014,503364
Feature Film,7.8,116,2005,22066
Feature Film,7.1,178,1998,172928
Feature Film,7,77,2004,75795
Feature Film,7.2,107,2011,188387
Feature Film,6.8,116,2013,42826
Feature Film,6.8,125,1997,42890
Feature Film,7.8,122,2012,548320
Feature Film,7.1,101,2002,146575
Feature Film,7.1,92,2011,43513
Feature Film,6.3,96,2009,57666
Feature Film,6.3,114,2002,29077
Feature Film,8.1,120,2015,593050
Feature Film,7.7,106,2001,93471
Feature Film,8,147,2001,245378
Feature Film,8,188,1999,245320
Feature Film,8,87,2007,134892
Feature Film,7.2,117,1999,71046
Feature Film,6.8,109,2005,159041
TV Series,8.5,28,2014,67084
Feature Film,7.2,138,2003,430342
